Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
1,0,1735222413340,Faceoff,FullStrength,5v5,TRUE,TRUE,NeutralZone,,,340149,#32 Lucas Wallmark,Home,340149,#32 Lucas Wallmark,Home,Center,,,,,,,,,,,,,,,,,,,,,,,,340149,105742,888055464,101791,888055472,888040859,888039489,888040777,888042987,340122,343031,340149,340142,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#61 Martin Kaut,#29 Milos Kelemen,#8 David Musil,#41 Peter Ceresnak,#88 Daniel Audette,#74 Andreas Borgman,#32 Lucas Wallmark,#9 Marcus Sörensen,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,Home,Home,"-3.6,-3.5","25.5,0.2","-25.8,-0.7","0.4,0","1,4.2","0.7,-5.1","5.2,-4.1","3,2.3","-0.8,4.5","-6.8,3.2","-0.7,-1.7","-0.6,-3.1",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1735222413340,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-1.6,-1.9","-2.6,-2.6",,,,,,,,,,,,,,,,,,,,,,,,,Loose,NeutralZone,NeutralZone,,,,,105742,888055464,101791,888055472,888040859,888039489,888040777,888042987,340122,343031,340149,340142,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#61 Martin Kaut,#29 Milos Kelemen,#8 David Musil,#41 Peter Ceresnak,#88 Daniel Audette,#74 Andreas Borgman,#32 Lucas Wallmark,#9 Marcus Sörensen,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,Home,Home,"-4.1,-3.5","25.6,0","-25.4,-0.6","0.3,0","0.8,3.9","0.4,-4.6","5.2,-4.1","2.9,2","-0.8,3.8","-7,3.1","-1,-0.5","-0.7,-2.5",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1735222413480,Pass,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-2.6,-2.6","-4.9,-5",340142,#9 Marcus Sörensen,Home,105742,#16 Raphael Diaz,Home,,,,,,,,Successful,9.6,,,,,,,,,,,,,,,,"340142,105742",105742,888055464,101791,888055472,888040859,888039489,888040777,888042987,340122,343031,340149,340142,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#61 Martin Kaut,#29 Milos Kelemen,#8 David Musil,#41 Peter Ceresnak,#88 Daniel Audette,#74 Andreas Borgman,#32 Lucas Wallmark,#9 Marcus Sörensen,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,Home,Home,"-4.2,-3.7","25.6,0","-25.3,-0.6","0.3,0","0.7,3.8","0.3,-4.5","5.2,-4.2","2.9,2","-0.8,3.6","-7,3.2","-1.1,-0.4","-0.8,-2.4",2.147,0.293,0.628,0.408,1.337,1.489,0.516,0.293,1.904,0.463,0.984,1.092,"-0.62,-0.784","-0.813,-0.582","0.991,-0.133","0.555,0.832","-0.804,-0.595","-0.962,0.274","-0.113,-0.994","0.513,-0.858","0.157,-0.988","-0.992,0.125","-0.58,0.814","-0.948,0.318"
1,0,1735222413480,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-2.6,-2.6","-2.7,-2.7",340142,#9 Marcus Sörensen,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,NeutralZone,,,,340142,105742,888055464,101791,888055472,888040859,888039489,888040777,888042987,340122,343031,340149,340142,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#61 Martin Kaut,#29 Milos Kelemen,#8 David Musil,#41 Peter Ceresnak,#88 Daniel Audette,#74 Andreas Borgman,#32 Lucas Wallmark,#9 Marcus Sörensen,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,Home,Home,"-4.2,-3.7","25.6,0","-25.3,-0.6","0.3,0","0.7,3.8","0.3,-4.5","5.2,-4.2","2.9,2","-0.8,3.6","-7,3.2","-1.1,-0.4","-0.8,-2.4",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1735222413500,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-2.7,-2.7","-4.9,-5",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,NeutralZone,,,,,105742,888055464,101791,888055472,888040859,888039489,888040777,888042987,340122,343031,340149,340142,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#61 Martin Kaut,#29 Milos Kelemen,#8 David Musil,#41 Peter Ceresnak,#88 Daniel Audette,#74 Andreas Borgman,#32 Lucas Wallmark,#9 Marcus Sörensen,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,Home,Home,"-4.3,-3.8","25.6,0","-25.3,-0.6","0.3,0","0.6,3.7","0.2,-4.5","5.2,-4.2","2.9,2","-0.8,3.5","-7,3.2","-1.1,-0.4","-0.8,-2.4",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1735222413820,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-4.9,-5","-11.7,-6",105742,#16 Raphael Diaz,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,HomeTeamZone,,,,105742,105742,888055464,101791,888055472,888040859,888039489,888040777,888042987,340122,343031,340149,340142,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#61 Martin Kaut,#29 Milos Kelemen,#8 David Musil,#41 Peter Ceresnak,#88 Daniel Audette,#74 Andreas Borgman,#32 Lucas Wallmark,#9 Marcus Sörensen,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,Home,Home,"-4.9,-4.7","25.5,-0.1","-25.2,-0.7","0.5,0","0.2,3.5","-0.3,-4.6","5.2,-4.5","3,1.8","-0.6,2.8","-7.4,3.1","-1.3,-0.2","-1.2,-2.5",,,,,,,,,,,,,,,,,,,,,,,,
1,1,1735222414460,BluelineCrossing,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-7.2,-6.4",,105742,#16 Raphael Diaz,Home,,,,,,,,,,,,,None,TowardsHome,,,,,,,,,,,,,,105742,105742,888055464,101791,888055472,888040859,888039489,888040777,888042987,340122,343031,340149,340142,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#61 Martin Kaut,#29 Milos Kelemen,#8 David Musil,#41 Peter Ceresnak,#88 Daniel Audette,#74 Andreas Borgman,#32 Lucas Wallmark,#9 Marcus Sörensen,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,Home,Home,"-7.2,-7.2","25.3,-0.1","-25.1,-0.6","0.9,-0.5","-1.6,3.2","-1.3,-5.2","4.8,-5.9","3.4,1.7","-1,0.9","-8.9,2.5","-2.1,-1.6","-2.6,-3.8",4.554,0.232,0.261,1.937,3.408,1.861,2.561,0.494,3.131,3.555,3.807,4.034,"-0.943,-0.334","0.94,-0.341","-0.75,0.662","0.342,-0.94","-0.993,-0.121","-0.607,-0.795","-0.528,-0.85","0.999,0.035","-0.514,-0.858","-0.9,-0.435","-0.515,-0.857","-0.536,-0.844"
1,2,1735222415700,Pass,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-11.7,-6","-16.7,3.4",105742,#16 Raphael Diaz,Home,343031,#74 Andreas Borgman,Home,,,,,,,,Successful,15.3,,,,,,,,,,,,,,,,"105742,343031",105742,888055464,101791,888055472,888040859,888039489,888040777,888042987,340122,343031,340149,340142,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#61 Martin Kaut,#29 Milos Kelemen,#8 David Musil,#41 Peter Ceresnak,#88 Daniel Audette,#74 Andreas Borgman,#32 Lucas Wallmark,#9 Marcus Sörensen,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,Home,Home,"-12.5,-5","25.9,-0.1","-26.1,-0.7","-1,-3.5","-7.3,2","-4.9,-7.8","2.1,-7.6","2,3.5","-4.3,2.4","-13.9,2.3","-5.3,-5.8","-6,-5.6",5.605,0.29,0.838,3.736,5.364,5.348,2.48,3.68,5.315,4.814,4.56,3.965,"-0.836,0.548","0.947,0.321","-0.965,0.263","-0.871,-0.491","-0.995,-0.095","-0.981,-0.196","-0.992,-0.127","-0.807,0.59","-0.333,0.943","-0.956,0.295","-0.423,-0.906","-0.85,0.527"
1,2,1735222415720,PuckControl,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-11.7,-6","-16.7,3.4",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,,105742,888055464,101791,888055472,888040859,888039489,888040777,888042987,340122,343031,340149,340142,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#61 Martin Kaut,#29 Milos Kelemen,#8 David Musil,#41 Peter Ceresnak,#88 Daniel Audette,#74 Andreas Borgman,#32 Lucas Wallmark,#9 Marcus Sörensen,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,Home,Home,"-12.6,-5","25.9,-0.1","-26.1,-0.7","-1,-3.5","-7.4,2","-5.1,-7.8","2,-7.6","2,3.5","-4.3,2.5","-14,2.3","-5.3,-5.9","-6.1,-5.6",,,,,,,,,,,,,,,,,,,,,,,,
1,3,1735222416440,PuckControl,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-16.7,3.4","-17.9,9.4",343031,#74 Andreas Borgman,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,343031,105742,888055464,101791,888055472,888040859,888039489,888040777,888042987,340122,343031,340149,340142,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#61 Martin Kaut,#29 Milos Kelemen,#8 David Musil,#41 Peter Ceresnak,#88 Daniel Audette,#74 Andreas Borgman,#32 Lucas Wallmark,#9 Marcus Sörensen,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,Home,Home,"-16.1,-3","26,0","-26.4,-0.5","-3.3,-3.1","-11.2,3","-8.9,-7.1","0.5,-8.2","-0.2,5.8","-4.6,6.5","-16.8,4.6","-5.9,-9.1","-7.8,-3.3",,,,,,,,,,,,,,,,,,,,,,,,
