Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
1,0,1767179427880,Faceoff,FullStrength,5v5,TRUE,TRUE,NeutralZone,,,888057609,#13 T.J. Hughes,Home,888057609,#13 T.J. Hughes,Home,Center,,,,,,,,,,,,,,,,,,,,,,,,888057609,150983,337830,301617,340162,308175,347698,888057603,888057597,888057617,888057609,888057601,888057610,#29 Sandro Aeschlimann,#44 Matej Stransky,#72 Tino Kessler,#6 Klas Dahlbeck,#77 Nico Gross,#74 Rasmus Asplund,#17 Larry Keenan,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.8,0.2","0.8,4.6","0.4,-4","5.3,-3.3","9.5,2.3","0.6,0.3","-6.4,4.7","-26.2,0.2","0.5,4.9","0,1.9","-5.8,-2","-0.1,-3.6",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1767179428340,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-1.4,0.1","-1.5,0.2",,,,,,,,,,,,,,,,,,,,,,,,,Loose,NeutralZone,NeutralZone,,,,,150983,337830,301617,340162,308175,347698,888057603,888057597,888057617,888057609,888057601,888057610,#29 Sandro Aeschlimann,#44 Matej Stransky,#72 Tino Kessler,#6 Klas Dahlbeck,#77 Nico Gross,#74 Rasmus Asplund,#17 Larry Keenan,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.8,0.1","0.6,4.3","0.3,-4.2","5.3,-3.3","9.8,2.4","1,0.1","-6.7,4.6","-26.2,0.1","0.5,4.6","-0.3,1.5","-6,-2.1","-0.5,-3.5",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1767179428380,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-1.5,0.2","-1.9,-0.1",888057609,#13 T.J. Hughes,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,NeutralZone,,,,888057609,150983,337830,301617,340162,308175,347698,888057603,888057597,888057617,888057609,888057601,888057610,#29 Sandro Aeschlimann,#44 Matej Stransky,#72 Tino Kessler,#6 Klas Dahlbeck,#77 Nico Gross,#74 Rasmus Asplund,#17 Larry Keenan,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.8,0.1","0.6,4.2","0.3,-4.2","5.2,-3.3","9.8,2.4","1.1,0.1","-6.8,4.6","-26.2,0.1","0.4,4.6","-0.3,1.5","-6.1,-2.1","-0.5,-3.5",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1767179428600,Pass,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-1.8,-0.1","-7.6,3",888057609,#13 T.J. Hughes,Home,888057601,#23 Eric Pohlkamp,Home,,,,,,,,Successful,4.9,,,,,,,,,,,,,,,,"888057609,888057601",150983,337830,301617,340162,308175,347698,888057603,888057597,888057617,888057609,888057601,888057610,#29 Sandro Aeschlimann,#44 Matej Stransky,#72 Tino Kessler,#6 Klas Dahlbeck,#77 Nico Gross,#74 Rasmus Asplund,#17 Larry Keenan,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.8,0.1","0.7,4.2","0.3,-4.2","5.2,-3.6","9.8,2.4","1.2,0.2","-7.1,4.6","-26.1,0.1","0.3,4.7","-0.5,1.2","-6.3,-2.1","-0.6,-3.5",0.106,0.51,0.716,1.083,0.382,0.788,1.745,0.823,1.309,1.25,1.151,0.387,"-0.989,0.149","0.908,0.42","0.988,-0.154","0.408,-0.913","-0.994,-0.113","0.669,0.743","-0.998,0.063","1,-0.017","-0.684,0.729","-0.661,-0.75","-0.995,0.1","-0.873,-0.488"
1,0,1767179428620,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-1.9,-0.1","-7.6,3",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,AwayTeamZone,,,,,150983,337830,301617,340162,308175,347698,888057603,888057597,888057617,888057609,888057601,888057610,#29 Sandro Aeschlimann,#44 Matej Stransky,#72 Tino Kessler,#6 Klas Dahlbeck,#77 Nico Gross,#74 Rasmus Asplund,#17 Larry Keenan,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.8,0.1","0.7,4.2","0.4,-4.2","5.2,-3.6","9.8,2.4","1.2,0.2","-7.1,4.6","-26,0.1","0.3,4.7","-0.5,1.2","-6.3,-2.1","-0.6,-3.5",,,,,,,,,,,,,,,,,,,,,,,,
1,1,1767179429900,BluelineCrossing,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-7.1,2.7",,888057609,#13 T.J. Hughes,Home,,,,,,,,,,,,,None,TowardsHome,,,,,,,,,,,,,,888057609,150983,337830,301617,340162,308175,347698,888057603,888057597,888057617,888057609,888057601,888057610,#29 Sandro Aeschlimann,#44 Matej Stransky,#72 Tino Kessler,#6 Klas Dahlbeck,#77 Nico Gross,#74 Rasmus Asplund,#17 Larry Keenan,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.9,0.4","1.6,5.9","-1.6,-3.4","5.8,-4.3","7.8,2.5","1.3,-0.2","-10.5,5.1","-25.5,0.4","-0.1,7.9","-2.5,1","-7.9,0.7","0.9,-4.2",0.219,3.081,4.55,0.425,2.259,0.948,3.451,1.141,3.572,1.911,4.784,3.478,"-0.516,0.856","0.398,0.917","-0.817,0.577","0.883,-0.47","-0.99,0.144","-0.601,0.8","-0.999,0.042","-0.929,0.37","0.573,0.82","-0.903,0.43","-0.27,0.963","-0.513,-0.858"
1,2,1767179430000,PuckControl,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-7.6,3","-13,3.6",888057601,#23 Eric Pohlkamp,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,888057601,150983,337830,301617,340162,308175,347698,888057603,888057597,888057617,888057609,888057601,888057610,#29 Sandro Aeschlimann,#44 Matej Stransky,#72 Tino Kessler,#6 Klas Dahlbeck,#77 Nico Gross,#74 Rasmus Asplund,#17 Larry Keenan,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.9,0.5","1.7,6.2","-2,-3.1","5.8,-4.3","7.6,2.5","1.3,-0.1","-10.9,5.1","-25.6,0.5","0.1,8.2","-2.7,1.1","-8.1,1.1","0.7,-4.6",,,,,,,,,,,,,,,,,,,,,,,,
1,3,1767179431400,Pass,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-13.1,3.5","0.9,14.8",888057601,#23 Eric Pohlkamp,Home,888057617,#19 Quinn Finley,Home,,,,,,,,Successful,27,,,,,,,,,,,,,,,,"888057601,888057617",150983,337830,301617,340162,308175,347698,888057603,888057597,888057617,888057609,888057601,888057610,#29 Sandro Aeschlimann,#44 Matej Stransky,#72 Tino Kessler,#6 Klas Dahlbeck,#77 Nico Gross,#74 Rasmus Asplund,#17 Larry Keenan,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.9,0.5","2.5,9.7","-7.9,1.7","6.2,-5.4","5.3,4.7","1.5,2.4","-15.2,1.2","-26.1,0.5","3.1,12.1","-3.9,4.5","-13.2,4.4","-1.2,-9.6",0.25,2.458,5.637,2.131,2.039,2.467,5.566,0.226,3.45,2.773,4.676,3.198,"-0.226,0.974","0.1,0.995","-0.825,0.565","-0.867,-0.499","-0.127,0.992","-0.032,0.999","-0.235,-0.972","0.533,0.846","0.209,0.978","-0.207,0.978","-0.999,0.038","-0.069,-0.998"
1,3,1767179431420,PuckControl,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-13,3.6","0.9,14.8",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,NeutralZone,,,,,150983,337830,301617,340162,308175,347698,888057603,888057597,888057617,888057609,888057601,888057610,#29 Sandro Aeschlimann,#44 Matej Stransky,#72 Tino Kessler,#6 Klas Dahlbeck,#77 Nico Gross,#74 Rasmus Asplund,#17 Larry Keenan,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.9,0.5","2.5,9.7","-8,1.8","6.1,-5.4","5.3,4.7","1.5,2.5","-15.2,1.1","-26.1,0.5","3.1,12.2","-3.9,4.5","-13.3,4.4","-1.2,-9.7",,,,,,,,,,,,,,,,,,,,,,,,
1,3,1767179431760,BluelineCrossing,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-7.1,8.5",,888057601,#23 Eric Pohlkamp,Home,,,,,,,,,,,,,PossessionLost,TowardsOpponent,,,,,,,,,,,,,,888057601,150983,337830,301617,340162,308175,347698,888057603,888057597,888057617,888057609,888057601,888057610,#29 Sandro Aeschlimann,#44 Matej Stransky,#72 Tino Kessler,#6 Klas Dahlbeck,#77 Nico Gross,#74 Rasmus Asplund,#17 Larry Keenan,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#18 Aiden Fink,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.9,0.6","2.5,10.6","-9.4,2.9","5.5,-5.7","5.3,5.5","1.4,3.2","-15.5,-0.9","-26.1,0.5","3.1,13.2","-4.2,5.3","-14.8,4.1","-1.5,-10.6",0.275,3.049,5.018,1.526,2.757,2.128,6.015,0.248,3,2.387,4.759,2.807,"-0.267,0.964","0.033,0.999","-0.698,0.716","-0.701,-0.714","-0.03,1","-0.322,0.947","-0.01,-1","-0.59,-0.807","-0.299,0.954","-0.306,0.952","-0.912,-0.411","-0.455,-0.891"
