,Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
794,1,651,1735220000000.0,Pass,AwayPowerplay,4v5,True,True,HomeTeamZone,"-18.7,-10.2","-26.9,-4.7",888043466.0,#97 Daniel Hercik,Away,888055474.0,#89 Jan Mandat,Away,,,,,,,,Successful,17.8,,,,,,,,,,,,,,,,"888,043,466,888,055,000",150352.0,105742.0,888055464.0,101791.0,888055472.0,888043466.0,888042987.0,888040364.0,888055474.0,342394.0,343031.0,,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#97 Daniel Hercik,#41 Peter Ceresnak,#69 Lukas Radil,#89 Jan Mandat,#29 Jakob Lilja,#74 Andreas Borgman,,Home,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,,"-15.7,-8.2","-22.8,-1.3","26.2,0.2","-25.8,-0.6","-17.3,-3.8","-19.7,-10.9","-7.9,-10.2","-14.5,7","-28,-4.4","-18.1,-2.9","-20.8,-4.6",,1.473,0.457,0.291,0.494,1.852,0.302,0.324,0.327,1.209,1.541,0.879,,"-0.995,0.099","-0.997,0.072","0.875,0.485","0.001,-1","-0.499,-0.867","0.649,0.761","0.998,-0.061","0.991,-0.13","-0.965,-0.262","0.04,-0.999","0.939,-0.343",
795,1,651,1735220000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-18.8,-10.2","-26.9,-4.7",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,,150352.0,105742.0,888055464.0,101791.0,888055472.0,888043466.0,888042987.0,888040364.0,888055474.0,342394.0,343031.0,,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#97 Daniel Hercik,#41 Peter Ceresnak,#69 Lukas Radil,#89 Jan Mandat,#29 Jakob Lilja,#74 Andreas Borgman,,Home,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,,"-15.7,-8.2","-22.8,-1.3","26.2,0.2","-25.8,-0.6","-17.4,-3.8","-19.7,-10.9","-7.8,-10.2","-14.5,7","-28,-4.4","-18.1,-2.9","-20.8,-4.6",,,,,,,,,,,,,,,,,,,,,,,,,
796,1,652,1735220000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-26.9,-4.7","-29.8,1.9",888055474.0,#89 Jan Mandat,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,888055474,150352.0,105742.0,888055464.0,101791.0,888055472.0,888043466.0,888042987.0,888040364.0,888055474.0,342394.0,343031.0,,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#97 Daniel Hercik,#41 Peter Ceresnak,#69 Lukas Radil,#89 Jan Mandat,#29 Jakob Lilja,#74 Andreas Borgman,,Home,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,,"-16.8,-7.8","-23.3,-1","26.3,0.2","-25.9,-0.6","-18.4,-4.4","-20,-11.1","-7.6,-9.6","-14.9,7","-28.7,-4.3","-18.9,-2.9","-21.2,-4.6",,,,,,,,,,,,,,,,,,,,,,,,,
797,1,654,1735220000000.0,Pass,AwayPowerplay,4v5,True,True,HomeTeamZone,"-29.9,1.7","-18.5,9.3",888055474.0,#89 Jan Mandat,Away,888040364.0,#69 Lukas Radil,Away,,,,,,,,Successful,23.2,,,,,,,,,,,,,,,,"888,055,474,888,040,000",150352.0,105742.0,888055464.0,101791.0,888055472.0,888043466.0,888042987.0,888040364.0,888055474.0,342394.0,343031.0,,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#97 Daniel Hercik,#41 Peter Ceresnak,#69 Lukas Radil,#89 Jan Mandat,#29 Jakob Lilja,#74 Andreas Borgman,,Home,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,,"-19.3,-5.8","-23.3,2.3","26.6,0.1","-27.2,-0.1","-20.2,-1.9","-22,-10","-7.4,-1.9","-18.1,9.8","-29.5,1.4","-20.3,3.6","-23.3,-3.4",,2.169,1.639,0.559,0.278,2.624,1.303,4.656,2.152,4.287,3.443,1.3,,"-0.196,0.981","-0.185,0.983","0.942,-0.335","-0.706,0.708","-0.307,0.952","0.025,1","-0.027,1","-0.008,1","0.274,0.962","0.326,0.945","-0.406,0.914",
798,1,654,1735220000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-29.8,1.9","-18.5,9.3",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,,150352.0,105742.0,888055464.0,101791.0,888055472.0,888043466.0,888042987.0,888040364.0,888055474.0,342394.0,343031.0,,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#97 Daniel Hercik,#41 Peter Ceresnak,#69 Lukas Radil,#89 Jan Mandat,#29 Jakob Lilja,#74 Andreas Borgman,,Home,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,,"-19.3,-5.7","-23.3,2.4","26.6,0.1","-27.2,-0.1","-20.2,-1.9","-22,-9.9","-7.4,-1.8","-18.1,9.8","-29.4,1.5","-20.3,3.6","-23.3,-3.3",,,,,,,,,,,,,,,,,,,,,,,,,
799,1,654,1735220000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-18.5,9.3","-16.2,9.1",888040364.0,#69 Lukas Radil,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,888040364,150352.0,105742.0,888055464.0,101791.0,888055472.0,888043466.0,888042987.0,888040364.0,888055474.0,342394.0,343031.0,,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#97 Daniel Hercik,#41 Peter Ceresnak,#69 Lukas Radil,#89 Jan Mandat,#29 Jakob Lilja,#74 Andreas Borgman,,Home,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,,"-19.3,-4.4","-22.8,3.4","26.8,0","-26.8,0","-20.8,-0.2","-21.6,-9.2","-8,1.2","-17.7,10.8","-27.8,3.3","-19,5.4","-23.5,-1.9",,,,,,,,,,,,,,,,,,,,,,,,,
800,1,655,1735220000000.0,Pass,AwayPowerplay,4v5,True,True,HomeTeamZone,"-16.4,9.2","-11.5,3.7",888040364.0,#69 Lukas Radil,Away,888042987.0,#41 Peter Ceresnak,Away,,,,,,,,Successful,10.1,,,,,,,,,,,,,,,,"888,040,364,888,042,000",150352.0,105742.0,888055464.0,101791.0,888055472.0,888043466.0,888042987.0,888040364.0,888055474.0,342394.0,343031.0,,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#97 Daniel Hercik,#41 Peter Ceresnak,#69 Lukas Radil,#89 Jan Mandat,#29 Jakob Lilja,#74 Andreas Borgman,,Home,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,,"-19.3,-4.1","-22.5,3.4","26.8,0","-26.7,-0.1","-20.9,0.3","-21.4,-9","-8.2,1.8","-17.5,11","-27.1,3.4","-18.5,5.8","-23.4,-1.5",,1.714,1.827,0.175,0.895,2.796,1.466,4.286,1.302,4.161,3.631,2.454,,"0.077,0.997","1,0.023","-0.916,0.402","0.738,-0.674","-0.379,0.925","0.509,0.861","-0.464,0.886","0.624,0.781","0.99,0.144","0.928,0.373","0.085,0.996",
801,1,655,1735220000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-16.2,9.1","-11.5,3.7",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,,150352.0,105742.0,888055464.0,101791.0,888055472.0,888043466.0,888042987.0,888040364.0,888055474.0,342394.0,343031.0,,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#97 Daniel Hercik,#41 Peter Ceresnak,#69 Lukas Radil,#89 Jan Mandat,#29 Jakob Lilja,#74 Andreas Borgman,,Home,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,,"-19.3,-4.1","-22.5,3.4","26.8,0","-26.7,-0.2","-21,0.3","-21.4,-9","-8.3,1.9","-17.5,11","-27.1,3.4","-18.4,5.8","-23.4,-1.4",,,,,,,,,,,,,,,,,,,,,,,,,
802,1,655,1735220000000.0,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-11.5,3.7","-11.4,3.5",888042987.0,#41 Peter Ceresnak,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,888042987,150352.0,105742.0,888055464.0,101791.0,888055472.0,888043466.0,888042987.0,888040364.0,888055474.0,342394.0,343031.0,,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#97 Daniel Hercik,#41 Peter Ceresnak,#69 Lukas Radil,#89 Jan Mandat,#29 Jakob Lilja,#74 Andreas Borgman,,Home,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,,"-19.5,-2.9","-21.5,2.9","26.7,-0.1","-26.3,-0.7","-21.9,1.1","-21.2,-8","-10.3,3.3","-17.6,11.3","-24.8,2.8","-16,4.5","-23.1,-0.6",,,,,,,,,,,,,,,,,,,,,,,,,
803,1,655,1735220000000.0,Pass,AwayPowerplay,4v5,True,True,HomeTeamZone,"-11.4,3.5","-18,8.8",888042987.0,#41 Peter Ceresnak,Away,888040364.0,#69 Lukas Radil,Away,,,,,,,,Successful,11.1,,,,,,,,,,,,,,,,"888,042,987,888,040,000",150352.0,105742.0,888055464.0,101791.0,888055472.0,888043466.0,888042987.0,888040364.0,888055474.0,342394.0,343031.0,,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#23 Lukas Sedlak,#97 Daniel Hercik,#41 Peter Ceresnak,#69 Lukas Radil,#89 Jan Mandat,#29 Jakob Lilja,#74 Andreas Borgman,,Home,Home,Away,Home,Away,Away,Away,Away,Away,Home,Home,,"-19.6,-2.8","-21.3,2.8","26.7,-0.1","-26.2,-0.8","-22,1.1","-21.3,-7.9","-10.7,3.3","-17.7,11.3","-24.6,2.5","-15.7,4.1","-23,-0.6",,1.761,1.294,0.193,0.729,1.307,0.793,3.452,1.31,3.113,5.551,0.745,,"-0.564,0.826","0.996,-0.09","-0.197,-0.98","0.59,-0.807","-1,-0.024","-0.086,0.996","-1,-0.01","-0.963,-0.27","0.552,-0.834","0.503,-0.864","0.928,-0.372",
