,Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
4468,3,1192,1703800000000.0,Pass,HomePowerplay,6v4,False,True,AwayTeamZone,"15.3,-2.9","9.4,0.4",325032.0,#4 Jonathan Hazen,Home,888052819.0,#24 Ty Smith,Home,,,,,,,,Successful,8.1,,,,,,,,,,,,,,,,"325,032,888,052,819",304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,0.6","23.7,-0.9","21.8,-0.7","17.7,-2.6","22.9,3.3","19.2,5.4","24.9,2.6","24.2,-0.6","15.1,-4.7","8.1,3.2","15.1,-2.4",,0.624,1.105,1.485,5.463,1.199,3.466,0.722,1.287,2.391,3.788,2.079,,"0.702,0.712","-0.25,0.968","-0.647,0.762","-0.85,-0.527","-0.999,0.044","-0.724,0.69","-0.548,0.836","-0.13,0.991","-0.775,0.633","-0.037,-0.999","-0.864,0.503",
4469,3,1192,1703800000000.0,PuckControl,HomePowerplay,6v4,False,True,AwayTeamZone,"15.2,-2.9","9.4,0.4",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,,304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,0.6","23.6,-0.9","21.8,-0.7","17.6,-2.7","22.9,3.3","19.2,5.4","24.9,2.6","24.2,-0.6","15,-4.7","8.1,3.1","15.1,-2.4",,,,,,,,,,,,,,,,,,,,,,,,,
4470,3,1193,1703800000000.0,PuckControl,HomePowerplay,6v4,False,True,AwayTeamZone,"9.4,0.4","8.3,-0.1",888052819.0,#24 Ty Smith,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,888052819,304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.8,0.4","23.2,-1.3","20.4,0.1","13.5,-2.5","22,3.3","16.9,6.1","24.6,3.1","23.9,0.5","13.6,-4.1","8.3,0.1","15,-0.8",,,,,,,,,,,,,,,,,,,,,,,,,
4471,3,1193,1703800000000.0,Pass,HomePowerplay,6v4,False,True,AwayTeamZone,"8.3,-0.2","15.5,8.1",888052819.0,#24 Ty Smith,Home,321718.0,#88 Christopher DiDomenico,Home,,,,,,,,Successful,14.1,,,,,,,,,,,,,,,,"888,052,819,321,718",304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.8,0.3","22.9,-1.5","19.9,0.3","12.2,-1.3","21.5,3.3","16.3,6.4","24.7,2.9","23.6,0.8","13.5,-4.9","8.5,-0.6","15.6,0.1",,0.303,0.644,1.704,5.009,1.747,2.267,1.55,1.134,2.852,2.112,3.537,,"-0.938,-0.348","-0.935,0.355","-1,-0.019","-0.626,0.78","-0.963,0.269","-0.671,0.742","0.375,-0.927","-0.578,0.816","0.053,-0.999","0.173,-0.985","0.619,0.785",
4472,3,1193,1703800000000.0,PuckControl,HomePowerplay,6v4,False,True,AwayTeamZone,"8.3,-0.1","15.5,8.1",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,,304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.8,0.3","22.9,-1.5","19.8,0.3","12.1,-1.2","21.5,3.3","16.3,6.4","24.7,2.8","23.6,0.9","13.5,-4.9","8.5,-0.7","15.6,0.1",,,,,,,,,,,,,,,,,,,,,,,,,
4473,3,1194,1703800000000.0,PuckControl,HomePowerplay,6v4,False,True,AwayTeamZone,"15.5,8.1","15,7.6",321718.0,#88 Christopher DiDomenico,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,321718,304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.3,1","22.9,0","18.9,0.2","11.9,2.1","20,4.4","15.9,7.8","25,3","23.4,1.5","14.7,-6","8.4,-1.6","17.5,1.2",,,,,,,,,,,,,,,,,,,,,,,,,
4474,3,1194,1703800000000.0,Pass,HomePowerplay,6v4,False,True,AwayTeamZone,"15.1,7.7","17.6,-6.2",321718.0,#88 Christopher DiDomenico,Home,343192.0,#16 Joey LaLeggia,Home,,,,,,,,Successful,14.1,,,,,,,,,,,,,,,,"321,718,343,192",304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,1.2","23.3,0.6","18.7,0.5","13.2,4.6","19.2,5.3","15.9,8","25.1,4.3","23.4,2.1","16.2,-5.1","8.5,-1.8","18.4,1.4",,0.099,1.074,0.58,5.076,1.451,0.308,1.781,0.86,3.526,0.304,1.456,,"0.859,-0.512","0.957,-0.292","-0.441,0.897","0.533,0.846","-0.751,0.66","0.541,0.841","0.079,0.997","-0.267,0.964","0.829,0.559","0.992,-0.128","0.888,0.46",
4475,3,1194,1703800000000.0,PuckControl,HomePowerplay,6v4,False,True,AwayTeamZone,"15,7.6","17.6,-6.2",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,,304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.1,1.2","23.3,0.6","18.7,0.5","13.2,4.7","19.2,5.3","15.9,8","25.1,4.3","23.4,2.1","16.2,-5.1","8.5,-1.8","18.4,1.4",,,,,,,,,,,,,,,,,,,,,,,,,
4476,3,1195,1703800000000.0,PuckControl,HomePowerplay,6v4,False,True,AwayTeamZone,"17.6,-6.2","18.3,-6.5",343192.0,#16 Joey LaLeggia,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,343192,304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.6,0.4","23.3,-1.2","19.8,0","16.4,6.7","19.6,4.6","17,8.6","25.2,3.9","23.7,0.9","18.8,-5.2","8.7,-1.2","19.4,1.5",,,,,,,,,,,,,,,,,,,,,,,,,
4477,3,1196,1703800000000.0,Shot,HomePowerplay,6v4,False,True,AwayTeamZone,"18.3,-6.5",,343192.0,#16 Joey LaLeggia,Home,304441.0,#91 Gilles Senn,Away,,Missed,105.7,340162,0.085,,,,,,,,,,,,,,,,,,,,"343,192,304,441,340,000",304441.0,340162.0,340163.0,337835.0,308599.0,321718.0,333800.0,343628.0,343192.0,888052819.0,325032.0,,#91 Gilles Senn,#6 Klas Dahlbeck,#42 Joakim Nordström,#40 Dennis Rasmussen,#46 Dominik Egli,#88 Christopher DiDomenico,#86 Josh Jooris,#19 Corban Knight,#16 Joey LaLeggia,#24 Ty Smith,#4 Jonathan Hazen,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.7,-0.1","22.9,-1.7","20.4,-0.8","17.4,6.1","20.7,4.2","17.6,8.8","25.4,3.2","24.1,0.3","19.8,-5.6","8.8,-1.2","19.5,1",,0.961,1.818,2.747,3.509,4.047,1.858,1.826,1.735,2.864,0.318,1.949,,"0.308,-0.951","-0.462,-0.887","0.499,-0.867","0.76,-0.649","0.901,-0.433","0.933,0.361","0.332,-0.943","0.697,-0.717","0.909,-0.416","0.983,-0.182","0.312,-0.95",
