Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
2,955,1.70E+12,Pass,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-12.1,4.1","-22,10.4",340163,#42 Joakim Nordström,Away,,,,,,,,,,,Failed,10.5,,,,,,,,,,,,,,,,340163,304441,143575,337830,340163,140525,322236,888052816,888052818,343628,340579,888052819,,#91 Gilles Senn,#70 Enzo Corvi,#44 Matej Stransky,#42 Joakim Nordström,#65 Marc Wieser,#55 Calle Andersson,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#77 Colton Sceviour,#24 Ty Smith,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.4,-0.8","-8.5,-12.4","-10.2,11.8","-10.8,3.8","-11.7,-2.6","-6.4,-4.1","-25.5,-1.1","-15.1,3.2","-12.5,8.2","-11.8,-3.4","-13.8,0.2",,0.371,4.715,8.105,6.609,5.239,6.033,1.533,3.152,4.984,6.046,4.095,,"-0.731,-0.683","-0.933,0.36","-0.997,0.072","-0.82,0.573","-0.97,0.244","-0.102,-0.995","-0.278,0.961","-0.97,0.243","-1,-0.027","-0.893,0.45","-0.997,-0.083",
2,955,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-12.2,4.1","-23.5,9.6",,,,,,,,,,,,,,,,,,,,,,,,,Loose,HomeTeamZone,HomeTeamZone,,,,,304441,143575,337830,340163,140525,322236,888052816,888052818,343628,340579,888052819,,#91 Gilles Senn,#70 Enzo Corvi,#44 Matej Stransky,#42 Joakim Nordström,#65 Marc Wieser,#55 Calle Andersson,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#77 Colton Sceviour,#24 Ty Smith,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.4,-0.8","-8.6,-12.4","-10.3,11.8","-10.9,3.9","-11.8,-2.5","-6.4,-4.2","-25.5,-1","-15.1,3.3","-12.6,8.2","-12,-3.4","-13.9,0.1",,,,,,,,,,,,,,,,,,,,,,,,,
2,956,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-23.5,9.6","-25.2,7.9",337830,#44 Matej Stransky,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,337830,304441,143575,337830,340163,140525,322236,888052816,888052818,343628,340579,888052819,,#91 Gilles Senn,#70 Enzo Corvi,#44 Matej Stransky,#42 Joakim Nordström,#65 Marc Wieser,#55 Calle Andersson,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#77 Colton Sceviour,#24 Ty Smith,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.4,-0.6","-11.4,-7.7","-21.4,10","-18.2,5.4","-18.1,0.5","-4,-10.8","-25.9,-1","-20.1,4.3","-18.3,7.1","-18.1,0.2","-19.7,-0.7",,,,,,,,,,,,,,,,,,,,,,,,,
2,956,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-25.2,7.9","-29.6,1.9",,,,,,,,,,,,,,,,,,,,,,,,,Loose,HomeTeamZone,HomeTeamZone,,,,,304441,143575,337830,340163,140525,888052816,888052818,343628,340579,888052819,308599,,#91 Gilles Senn,#70 Enzo Corvi,#44 Matej Stransky,#42 Joakim Nordström,#65 Marc Wieser,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#77 Colton Sceviour,#24 Ty Smith,#46 Dominik Egli,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Away,,"25.4,-0.6","-11.3,-6.6","-23.1,9.1","-19.4,5.1","-18.8,1.1","-25.9,-1.2","-21.2,4.1","-19.1,6.6","-19.1,0.5","-20.7,-0.9","-1.8,-14.5",,,,,,,,,,,,,,,,,,,,,,,,,
2,957,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-29.6,1.9","-11.1,-12.5",337830,#44 Matej Stransky,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,337830,304441,143575,337830,340163,140525,308599,888052816,888052818,343628,340579,888052819,,#91 Gilles Senn,#70 Enzo Corvi,#44 Matej Stransky,#42 Joakim Nordström,#65 Marc Wieser,#46 Dominik Egli,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#77 Colton Sceviour,#24 Ty Smith,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.5,-0.2","-10.6,-2.6","-28.1,3.5","-23,3.1","-20.4,1.9","-4.2,-12.3","-26.3,-1","-24.9,0.4","-21.5,3.6","-22.3,-0.1","-24.1,-2",,,,,,,,,,,,,,,,,,,,,,,,,
3,132,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-20.1,-7.5","-20.3,-7.6",,,,,,,,,,,,,,,,,,,,,,,,,Contested,AwayTeamZone,AwayTeamZone,3.44E+11,,,,304441,337835,337684,322236,332924,340161,888052816,333800,343628,344373,888052817,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.2,0.3","-20,-7.5","-16.5,-3.7","-9.6,-12.8","-19,-2.9","-19.6,-11.2","-25.1,-1.3","-20.7,-3.1","-20.2,-7.2","-22.3,-1.9","-21.3,-11.2",,,,,,,,,,,,,,,,,,,,,,,,,
3,132,1.70E+12,Faceoff,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,,,337835,#40 Dennis Rasmussen,Away,337835,#40 Dennis Rasmussen,Away,HomeTeamZoneBottom,,,,,,,,,,,,,,,,,,,,,,,,337835,304441,337835,337684,322236,332924,340161,888052816,333800,343628,344373,888052817,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.4,0.3","-20.1,-7.5","-16.6,-3.4","-9.6,-13","-19.1,-3","-19.5,-11.4","-25.2,-1","-20.6,-3.1","-20.3,-6.9","-22.7,-1.8","-21.5,-11.1",,,,,,,,,,,,,,,,,,,,,,,,,
3,132,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-18.7,-8.5","-8.3,-14.4",,,,,,,,,,,,,,,,,,,,,,,,,Loose,AwayTeamZone,AwayTeamZone,,,,,304441,337835,337684,322236,332924,340161,888052816,333800,343628,344373,888052817,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.4,0.5","-20.2,-7.5","-16.6,-3.4","-9.6,-13","-19.2,-3.1","-19.6,-11.3","-25.3,-1","-20.6,-3.2","-20.4,-7","-22.7,-1.8","-21.5,-11",,,,,,,,,,,,,,,,,,,,,,,,,
3,133,1.70E+12,PuckControl,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-8.3,-14.4","-9,-13.1",322236,#55 Calle Andersson,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,322236,304441,337835,337684,322236,332924,340161,888052816,333800,343628,344373,888052817,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.9,0.5","-20,-7.2","-15.1,-1.3","-8.8,-13.2","-21.6,-5.9","-21.5,-9.2","-25.7,-0.8","-17.8,-3.7","-20.1,-6.5","-22.8,-1.9","-21.7,-8.6",,,,,,,,,,,,,,,,,,,,,,,,,
3,134,1.70E+12,Pass,AwayPowerplay,4v5,TRUE,TRUE,HomeTeamZone,"-8.9,-13.1","-20.8,-13.2",322236,#55 Calle Andersson,Away,332924,#25 Henrik Haapala,Away,,,,,,,,Successful,14.1,,,,,,,,,,,,,,,,3.22E+11,304441,337835,337684,322236,332924,340161,888052816,333800,343628,344373,888052817,,#91 Gilles Senn,#40 Dennis Rasmussen,#19 Jesper Olofsson,#55 Calle Andersson,#25 Henrik Haapala,#67 Leon Bristedt,#1 Thomas Milic,#86 Josh Jooris,#19 Corban Knight,#28 Nathan Beaulieu,#8 Jordie Benn,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.6,1","-20.4,-5.7","-10.4,-0.2","-8.7,-14.7","-23.1,-12.1","-24.4,-8","-25.5,-0.4","-11.8,-8.3","-16.8,-5.5","-22.2,-0.5","-22,-6.5",,0.134,1.869,3.501,1.75,3.55,2.715,0.318,5.733,0.503,1.833,0.99,,"0.465,-0.885","-0.684,0.729","0.981,-0.193","-0.974,0.225","0.568,-0.823","-0.995,0.099","0.997,-0.082","0.256,-0.967","0.935,0.355","0.589,0.808","-0.08,-0.997",
