Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
2,102,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,HomeTeamZone,"-8.5,11.2","-11,8.8",105742.0,#16 Raphael Diaz,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,105742.0,340141,121606,150352,105742,888055464,101791,888040777,888042987,888055474,888047301,340122,,#95 Jacob De la Rose,#86 Julien Sprunger,#28 Christoph Bertschy,#16 Raphael Diaz,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#88 Daniel Audette,,Home,Home,Home,Home,Away,Home,Away,Away,Away,Away,Home,,"3.3,6.2","-0.8,12","12.2,13","-8.3,10.3","26.4,0.4","-26.3,1.2","11.5,-0.1","13.7,11","2.3,13","-3.1,12.7","-2,-3.6",,,,,,,,,,,,,,,,,,,,,,,,,
2,102,1735230000000.0,Faceoff,HomePowerplay,5v4,True,True,AwayTeamZone,,,340149.0,#32 Lucas Wallmark,Home,340149.0,#32 Lucas Wallmark,Home,AwayTeamZoneTop,,,,,,,,,,,,,,,,,,,,,,,,340149.0,888055464,101791,888047294,888055472,888039489,888055470,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#14 Ondrej Vala,#23 Lukas Sedlak,#29 Milos Kelemen,#24 Libor Hajek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.3,1.4","-25.7,-0.3","21.3,4.5","20.6,8","20.8,3.5","20.4,11","19.3,10.1","12.7,12","20.5,7.5","15.1,3.7","19.2,5.4",,,,,,,,,,,,,,,,,,,,,,,,,
2,102,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"19,7.9","14.5,9.4",,,,,,,,,,,,,,,,,,,,,,,,,Loose,HomeTeamZone,HomeTeamZone,,,,,888055464,101791,888047294,888055472,888039489,888055470,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#14 Ondrej Vala,#23 Lukas Sedlak,#29 Milos Kelemen,#24 Libor Hajek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.4,1.4","-25.7,-0.3","21.3,4.5","20.6,8","20.8,3.5","20.4,10.9","19.3,10.1","12.7,12","20.5,7.6","15.1,3.7","19.2,5.5",,,,,,,,,,,,,,,,,,,,,,,,,
2,104,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"14.5,9.4","9.2,10.3",333764.0,#18 Ryan Gunderson,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,333764.0,888055464,101791,888047294,888055472,888039489,888055470,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#14 Ondrej Vala,#23 Lukas Sedlak,#29 Milos Kelemen,#24 Libor Hajek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.7,1.2","-26.4,-0.3","21.2,3.8","20.5,6.7","17.3,4.6","20.7,9","18.3,10","12.6,9.9","20.3,7.4","14,1.8","17.7,7",,,,,,,,,,,,,,,,,,,,,,,,,
2,105,1735230000000.0,Pass,HomePowerplay,5v4,True,True,AwayTeamZone,"9.2,10.2","19.4,12.7",333764.0,#18 Ryan Gunderson,Home,340149.0,#32 Lucas Wallmark,Home,,,,,,,,Successful,10.9,,,,,,,,,,,,,,,,333764340149.0,888055464,101791,888047294,888055472,888039489,888055470,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#14 Ondrej Vala,#23 Lukas Sedlak,#29 Milos Kelemen,#24 Libor Hajek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.6,0.8","-26.3,0.1","19.9,-0.1","18.3,4","11.5,8","21.8,7.2","15.5,9.6","9.1,10","20.7,9.3","12.5,-3.5","17.3,6.3",,0.111,0.161,1.487,1.668,5.022,0.629,1.828,3.883,2.94,3.529,2.263,,"0.997,-0.084","-0.515,-0.857","-0.224,-0.975","-0.687,-0.727","-0.685,0.729","1,-0.024","-0.985,0.175","-0.599,0.801","0.389,0.921","-0.213,-0.977","0.926,-0.379",
2,105,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"9.2,10.3","19.4,12.7",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,,888055464,101791,888047294,888055472,888039489,888055470,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#14 Ondrej Vala,#23 Lukas Sedlak,#29 Milos Kelemen,#24 Libor Hajek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.6,0.8","-26.3,0","19.9,-0.1","18.3,4","11.4,8.1","21.8,7.2","15.4,9.6","9,10.1","20.7,9.3","12.5,-3.6","17.3,6.3",,,,,,,,,,,,,,,,,,,,,,,,,
2,106,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"19.4,12.7","20,12.2",340149.0,#32 Lucas Wallmark,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,340149.0,888055464,101791,888047294,888055472,888039489,888055470,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#14 Ondrej Vala,#23 Lukas Sedlak,#29 Milos Kelemen,#24 Libor Hajek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.1,1","-26.3,0.2","20.8,-0.7","17,3.7","11.3,12.1","22.2,9.6","14.9,10.3","7.5,13.4","20.8,12.5","12.1,-7","20.5,5.6",,,,,,,,,,,,,,,,,,,,,,,,,
2,106,1735230000000.0,Pass,HomePowerplay,5v4,True,True,AwayTeamZone,"20.1,12.3","17,9.9",340149.0,#32 Lucas Wallmark,Home,342394.0,#29 Jakob Lilja,Home,,,,,,,,Successful,7.6,,,,,,,,,,,,,,,,340149342394.0,888055464,101791,888047294,888055472,888039489,888055470,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#14 Ondrej Vala,#23 Lukas Sedlak,#29 Milos Kelemen,#24 Libor Hajek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.1,1","-26.3,0.3","21,-0.5","16.8,4","12,12.3","22,10.2","15.3,10.2","7.5,13.7","20.6,12.9","12.3,-7.5","21.1,5.8",,0.169,0.486,1.888,2.422,4.306,3.657,2.181,1.573,3.024,2.967,3.494,,"0.789,0.615","-0.23,0.973","0.709,0.705","-0.342,0.94","0.98,0.199","-0.336,0.942","0.885,-0.466","0.049,0.999","-0.584,0.812","0.463,-0.886","0.938,0.348",
2,106,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"20,12.2","17,9.9",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,,888055464,101791,888047294,888055472,888039489,888055470,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#14 Ondrej Vala,#23 Lukas Sedlak,#29 Milos Kelemen,#24 Libor Hajek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.1,1","-26.3,0.3","21.1,-0.5","16.8,4.1","12,12.3","22,10.3","15.3,10.1","7.5,13.8","20.5,13","12.3,-7.6","21.1,5.8",,,,,,,,,,,,,,,,,,,,,,,,,
2,107,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"17,9.9","17,9.5",342394.0,#29 Jakob Lilja,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,342394.0,888055464,101791,888047294,888055472,888039489,888055470,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#14 Ondrej Vala,#23 Lukas Sedlak,#29 Milos Kelemen,#24 Libor Hajek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26,1.2","-26.4,0.2","21.7,0.5","16.8,5.7","14.4,11.7","21.2,11.3","16.6,9.4","7.7,13.9","19.5,13.9","13.4,-8.2","22.7,6.5",,,,,,,,,,,,,,,,,,,,,,,,,
