Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12,strength_type_state,is_powerplay,pp_start,pp_phase_id
2,1187,1767184603780,Faceoff,AwayPowerplay,4v5,True,True,HomeTeamZone,,,888057608.0,#11 Danny Nelson,Home,888057608.0,#11 Danny Nelson,Home,HomeTeamZoneTop,,,,,,,,,,,,,,,,,,,,,,,,888057608,150983.0,143575.0,337830.0,301617.0,347698.0,322236.0,888057604.0,888057605.0,888057597.0,888057607.0,888057608.0,,#29 Sandro Aeschlimann,#70 Enzo Corvi,#44 Matej Stransky,#72 Tino Kessler,#74 Rasmus Asplund,#55 Calle Andersson,#2 Gavin McCartthy,#25 Abram Wiebe,#30 Adam Gajan,#22 Cole Knuble,#11 Danny Nelson,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.1,-0.1","-20.1,7","-18.7,0.9","-19.9,2","-17.8,10.8","-9.8,7.5","-20.6,11.3","-22.8,3","-26.2,0.1","-21,1.7","-20.5,6.8",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,True,3.0
2,1187,1767184603780,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-20.8,6.8","-21.3,6.1",,,,,,,,,,,,,,,,,,,,,,,,,Contested,HomeTeamZone,HomeTeamZone,"888057608,143575",,,,150983.0,143575.0,337830.0,301617.0,347698.0,322236.0,888057604.0,888057605.0,888057597.0,888057607.0,888057608.0,,#29 Sandro Aeschlimann,#70 Enzo Corvi,#44 Matej Stransky,#72 Tino Kessler,#74 Rasmus Asplund,#55 Calle Andersson,#2 Gavin McCartthy,#25 Abram Wiebe,#30 Adam Gajan,#22 Cole Knuble,#11 Danny Nelson,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.1,-0.1","-20.1,7","-18.7,0.9","-19.9,2","-17.8,10.8","-9.8,7.5","-20.6,11.3","-22.8,3","-26.2,0.1","-21,1.7","-20.5,6.8",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,3.0
2,1187,1767184604100,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-21.3,6.1","-23.8,5.6",,,,,,,,,,,,,,,,,,,,,,,,,Loose,HomeTeamZone,HomeTeamZone,,,,,150983.0,143575.0,337830.0,301617.0,347698.0,322236.0,888057604.0,888057605.0,888057597.0,888057607.0,888057608.0,,#29 Sandro Aeschlimann,#70 Enzo Corvi,#44 Matej Stransky,#72 Tino Kessler,#74 Rasmus Asplund,#55 Calle Andersson,#2 Gavin McCartthy,#25 Abram Wiebe,#30 Adam Gajan,#22 Cole Knuble,#11 Danny Nelson,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.2,-0.1","-20.3,7.1","-18.6,0.5","-20.3,2.5","-17.5,10.3","-9.8,7.5","-20.3,10.8","-23.3,3.7","-26.2,0.1","-20.8,1.3","-20.6,6.8",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,3.0
2,1188,1767184604380,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-23.8,5.6","-24.8,8.8",888057605.0,#25 Abram Wiebe,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,888057605,150983.0,143575.0,337830.0,301617.0,347698.0,322236.0,888057604.0,888057605.0,888057597.0,888057607.0,888057608.0,,#29 Sandro Aeschlimann,#70 Enzo Corvi,#44 Matej Stransky,#72 Tino Kessler,#74 Rasmus Asplund,#55 Calle Andersson,#2 Gavin McCartthy,#25 Abram Wiebe,#30 Adam Gajan,#22 Cole Knuble,#11 Danny Nelson,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.1,-0.1","-20.2,7.1","-18.7,0","-20.9,3.4","-17.2,9.6","-9.8,7.5","-20,10.1","-23.7,4.9","-26.2,0.1","-20.7,1","-20.6,6.7",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,3.0
2,1188,1767184605060,Clear,AwayPowerplay,4v5,True,True,HomeTeamZone,"-24.9,8.7","7.5,0.2",888057605.0,#25 Abram Wiebe,Home,322236.0,#55 Calle Andersson,Away,,,,,,,,,,,,,,,,,OffensiveZone,False,,,,,,,"888057605,322236",150983.0,143575.0,337830.0,301617.0,347698.0,322236.0,888057604.0,888057605.0,888057597.0,888057607.0,888057608.0,,#29 Sandro Aeschlimann,#70 Enzo Corvi,#44 Matej Stransky,#72 Tino Kessler,#74 Rasmus Asplund,#55 Calle Andersson,#2 Gavin McCartthy,#25 Abram Wiebe,#30 Adam Gajan,#22 Cole Knuble,#11 Danny Nelson,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.1,-0.2","-20,7.1","-18.1,-1.2","-22.6,6.5","-16,8","-9.4,8","-19.2,8.3","-24.4,8.3","-26.3,-0.3","-20.2,1.2","-20.6,5.9",,0.215,0.732,2.281,5.804,3.229,1.779,3.04,4.861,0.77,2.046,1.393,,"1,0.001","0.834,0.552","0.733,-0.681","-0.34,0.94","0.763,-0.647","0.473,0.881","0.509,-0.861","-0.074,0.997","-0.558,-0.83","0.873,0.488","-0.253,-0.968",,AwayPowerplay,True,False,3.0
2,1188,1767184605080,PuckControl,AwayPowerplay,4v5,True,True,HomeTeamZone,"-24.8,8.8","29.4,-8.2",,,,,,,,,,,,,,,,,,,,,,,,,Loose,HomeTeamZone,AwayTeamZone,,,,,150983.0,143575.0,337830.0,301617.0,347698.0,322236.0,888057604.0,888057605.0,888057597.0,888057607.0,888057608.0,,#29 Sandro Aeschlimann,#70 Enzo Corvi,#44 Matej Stransky,#72 Tino Kessler,#74 Rasmus Asplund,#55 Calle Andersson,#2 Gavin McCartthy,#25 Abram Wiebe,#30 Adam Gajan,#22 Cole Knuble,#11 Danny Nelson,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.1,-0.2","-19.9,7.1","-18.1,-1.3","-22.7,6.6","-16,8","-9.4,8.1","-19.1,8.3","-24.4,8.4","-26.3,-0.3","-20.2,1.2","-20.6,5.9",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,3.0
2,1189,1767184605860,BluelineCrossing,AwayPowerplay,4v5,True,True,NeutralZone,"-7.2,4.9",,888057605.0,#25 Abram Wiebe,Home,,,,,,,,,,,,,,TowardsOpponent,,,,,,,,,,,,,,888057605,150983.0,143575.0,337830.0,301617.0,347698.0,322236.0,888057604.0,888057605.0,888057597.0,888057607.0,888057608.0,,#29 Sandro Aeschlimann,#70 Enzo Corvi,#44 Matej Stransky,#72 Tino Kessler,#74 Rasmus Asplund,#55 Calle Andersson,#2 Gavin McCartthy,#25 Abram Wiebe,#30 Adam Gajan,#22 Cole Knuble,#11 Danny Nelson,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.4,-0.1","-19.7,7.5","-16.7,-2.8","-22.4,10.9","-13.5,8","-7.8,9.9","-18.1,6.1","-24.6,11.2","-26.8,-0.6","-17.5,2.2","-20.8,5.7",,0.353,0.56,3.068,5.395,4.125,4.192,3.338,2.98,0.499,4.875,0.506,,"0.749,-0.662","0.446,0.895","0.59,-0.807","0.483,0.876","0.895,0.445","0.893,0.45","0.439,-0.898","-0.048,0.999","-0.994,-0.113","0.914,0.405","0.421,0.907",,AwayPowerplay,True,False,3.0
2,1190,1767184606600,BluelineCrossing,AwayPowerplay,4v5,True,True,NeutralZone,"7.1,0.3",,888057605.0,#25 Abram Wiebe,Home,,,,,,,,,,,,,,TowardsOpponent,,"347698,322236",,,,,,,,,,,,"888057605,347698,322236",150983.0,143575.0,337830.0,301617.0,347698.0,322236.0,888057604.0,888057605.0,888057597.0,888057607.0,888057608.0,,#29 Sandro Aeschlimann,#70 Enzo Corvi,#44 Matej Stransky,#72 Tino Kessler,#74 Rasmus Asplund,#55 Calle Andersson,#2 Gavin McCartthy,#25 Abram Wiebe,#30 Adam Gajan,#22 Cole Knuble,#11 Danny Nelson,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"24.8,-0.8","-19.4,7.3","-14.8,-4.3","-19.3,13.2","-10.5,9.5","-4.3,10.1","-16.8,4.1","-24.2,13.3","-26.9,-0.7","-14.2,3.1","-19.9,5.6",,1.522,1.211,3.573,5.271,4.775,5.354,2.983,2.882,0.278,4.744,1.86,,"0.59,-0.807","0.646,-0.763","0.827,-0.562","0.96,0.279","0.938,0.346","0.965,-0.263","0.751,-0.661","0.53,0.848","0.96,0.279","0.984,0.18","0.959,-0.284",,AwayPowerplay,True,False,3.0
2,1196,1767184612520,PuckControl,AwayPowerplay,4v5,True,True,AwayTeamZone,"29.4,-8.2","16.7,1.5",322236.0,#55 Calle Andersson,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,322236,150983.0,143575.0,337830.0,301617.0,347698.0,322236.0,888057604.0,888057605.0,888057597.0,888057607.0,888057608.0,,#29 Sandro Aeschlimann,#70 Enzo Corvi,#44 Matej Stransky,#72 Tino Kessler,#74 Rasmus Asplund,#55 Calle Andersson,#2 Gavin McCartthy,#25 Abram Wiebe,#30 Adam Gajan,#22 Cole Knuble,#11 Danny Nelson,,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.7,-0.3","-4.1,13.2","7.9,-12.2","6,11.8","17.5,14.4","27.4,-9.2","-3.8,-7.1","-8.6,7.8","-26.3,-0.2","11.3,-11.1","-2,-4.3",,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,3.0
2,1200,1767184617140,StoppageOfPlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PeriodEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AwayPowerplay,True,False,3.0
