Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
2,1099,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"19.9,7.7","17.7,8.4",,,,,,,,,,,,,,,,,,,,,,,,,Contested,HomeTeamZone,HomeTeamZone,3.42394340149331e+26,,,,888055464,101791,888040777,888042987,888055474,888047301,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.3,1.5","-25.8,-0.3","21.5,4.6","20.5,11.1","20.7,3.6","20.2,8","18.9,10.2","13.1,11.8","20.3,7.1","15.1,3.6","19.3,5.2",,,,,,,,,,,,,,,,,,,,,,,,,
2,1100,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"17.7,8.4","16.5,9",331248.0,#92 Linden Vey,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,331248.0,888055464,101791,888040777,888042987,888055474,888047301,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.5,1.4","-25.6,-0.2","21.4,4.9","20.3,10","19.9,3.5","20.6,8","19.7,9.2","12.2,11.8","20.8,7.4","14.7,3","18.7,6.6",,,,,,,,,,,,,,,,,,,,,,,,,
2,1101,1735230000000.0,Pass,HomePowerplay,5v4,True,True,AwayTeamZone,"16.5,9","9.8,11.7",331248.0,#92 Linden Vey,Home,333764.0,#18 Ryan Gunderson,Home,,,,,,,,Successful,13.0,,,,,,,,,,,,,,,,331248333764.0,888055464,101791,888040777,888042987,888055474,888047301,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.6,1.2","-25.3,-0.1","21.4,4.4","20.8,8.7","17.8,3.5","21.2,7.5","20,8.3","10.5,12","20.7,7.1","14.2,1.4","16.6,9.1",,0.217,0.218,1.72,1.563,2.327,1.495,1.464,2.214,1.184,3.536,4.673,,"0.924,-0.382","-0.842,0.54","0.09,-0.996","0.584,-0.812","-0.995,-0.102","0.476,-0.879","0.13,-0.992","-0.989,0.147","-0.13,-0.991","-0.096,-0.995","-0.637,0.771",
2,1101,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"16.5,9","9.8,11.7",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,,888055464,101791,888040777,888042987,888055474,888047301,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.6,1.2","-25.3,-0.1","21.4,4.3","20.9,8.7","17.8,3.5","21.2,7.5","20,8.3","10.5,12","20.7,7.1","14.2,1.3","16.5,9.2",,,,,,,,,,,,,,,,,,,,,,,,,
2,1101,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"9.8,11.7","8.1,3.6",333764.0,#18 Ryan Gunderson,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,333764.0,888055464,101791,888040777,888042987,888055474,888047301,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.8,1.1","-25.6,-0.1","21.6,2.8","21.3,7.9","16.7,2.7","21.5,6.2","19.9,7.6","9,11.9","20.7,6.9","13.7,-1.4","15.4,11.2",,,,,,,,,,,,,,,,,,,,,,,,,
2,1103,1735230000000.0,Pass,HomePowerplay,5v4,True,True,AwayTeamZone,"8.1,3.7","16.7,-9.2",333764.0,#18 Ryan Gunderson,Home,340142.0,#9 Marcus Sörensen,Home,,,,,,,,Successful,18.1,,,,,,,,,,,,,,,,333764340142.0,888055464,101791,888040777,888042987,888055474,888047301,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.4,0.6","-26.3,0","21.9,0.2","21.5,5.2","13.8,1.7","18.1,2.5","20.1,4.1","8.2,4.1","19.4,9.4","15.1,-8","21.2,10.7",,0.241,0.217,1.194,1.825,2.173,1.927,1.938,5.609,2.44,2.959,5.307,,"0.954,-0.3","-0.835,0.551","-0.478,-0.879","-0.433,-0.902","-0.978,0.208","-0.491,-0.871","0.713,-0.701","0.296,-0.955","-0.658,0.753","0.611,-0.791","0.625,-0.78",
2,1103,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"8.1,3.6","16.7,-9.2",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,,888055464,101791,888040777,888042987,888055474,888047301,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"25.4,0.6","-26.3,0","21.9,0.2","21.5,5.1","13.8,1.8","18,2.5","20.1,4.1","8.3,4","19.4,9.5","15.1,-8.1","21.3,10.6",,,,,,,,,,,,,,,,,,,,,,,,,
2,1104,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"16.7,-9.2","19.7,-11.2",340142.0,#9 Marcus Sörensen,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,340142.0,888055464,101791,888040777,888042987,888055474,888047301,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26,0","-26.1,0.2","21.6,-1.4","22.1,3.2","13.1,1.3","18.4,1.7","21.5,1","8.6,-0.2","17.1,10.4","17.3,-9.8","23.8,6.6",,,,,,,,,,,,,,,,,,,,,,,,,
2,1105,1735230000000.0,Pass,HomePowerplay,5v4,True,True,AwayTeamZone,"19.7,-11.2","10.2,-5.6",340142.0,#9 Marcus Sörensen,Home,333764.0,#18 Ryan Gunderson,Home,,,,,,,,Successful,15.2,,,,,,,,,,,,,,,,340142333764.0,888055464,101791,888040777,888042987,888055474,888047301,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.4,-0.4","-26.5,-0.1","22.2,-3.3","23.9,0.9","15.6,-0.5","19.6,0.9","20.6,-2.2","8.1,-4.2","13,12.4","20.2,-11.3","25.4,2.1",,0.167,0.423,1.348,1.525,3.205,1.027,1.585,2.174,4.786,1.856,2.389,,"-0.895,-0.447","-0.869,-0.495","0.522,-0.853","0.729,-0.685","0.327,-0.945","0.394,-0.919","-0.595,-0.804","0.113,-0.994","-0.742,0.67","0.676,-0.737","0.027,-1",
2,1105,1735230000000.0,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"19.7,-11.2","10.2,-5.6",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,HomeTeamZone,,,,,888055464,101791,888040777,888042987,888055474,888047301,342394,333764,340149,340142,331248,,#22 Roman Will,#20 Reto Berra,#8 David Musil,#41 Peter Ceresnak,#89 Jan Mandat,#44 Patrik Poulicek,#29 Jakob Lilja,#18 Ryan Gunderson,#32 Lucas Wallmark,#9 Marcus Sörensen,#92 Linden Vey,,Away,Home,Away,Away,Away,Away,Home,Home,Home,Home,Home,,"26.4,-0.5","-26.5,-0.1","22.3,-3.3","23.9,0.9","15.6,-0.6","19.7,0.8","20.6,-2.2","8.1,-4.3","13,12.5","20.2,-11.3","25.4,2.1",,,,,,,,,,,,,,,,,,,,,,,,,
