Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12,strength_type_state,is_powerplay,pp_start,pp_phase_id
1,927,1767181154680,Faceoff,HomePowerplay,5v4,True,True,AwayTeamZone,,,345037.0,#15 Simon Ryfors,Away,345037.0,#15 Simon Ryfors,Away,AwayTeamZoneBottom,,,,,,,,,,,,,,,,,,,,,,,,345037,150983.0,340162.0,153736.0,888057861.0,345037.0,888057597.0,888057617.0,888057609.0,888057601.0,888057600.0,888057613.0,,#29 Sandro Aeschlimann,#6 Klas Dahlbeck,#38 Lukas Frick,#47 Leonid Komarov,#15 Simon Ryfors,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#4 Jake Livanavage,#27 Zam Plante,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.4,-1","21,-10.6","22.8,-2.9","20.9,-3.1","21,-7.4","-26.6,-0.2","19.9,-2.7","20.2,-6.4","14.2,-4.1","13.1,-11.9","19,-10.4",,,,,,,,,,,,,,,,,,,,,,,,,,HomePowerplay,True,True,2.0
1,928,1767181155100,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"21.8,-8.8","27.4,-7",,,,,,,,,,,,,,,,,,,,,,,,,Loose,HomeTeamZone,HomeTeamZone,,,,,150983.0,340162.0,153736.0,888057861.0,345037.0,888057597.0,888057617.0,888057609.0,888057601.0,888057600.0,888057613.0,,#29 Sandro Aeschlimann,#6 Klas Dahlbeck,#38 Lukas Frick,#47 Leonid Komarov,#15 Simon Ryfors,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#4 Jake Livanavage,#27 Zam Plante,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"25.5,-1","21.1,-10.1","23.3,-3.6","20.7,-4","20.9,-7.7","-26.2,0","20.1,-3.4","20.2,-6.4","14,-3.4","13.1,-11.7","19.3,-9.7",,,,,,,,,,,,,,,,,,,,,,,,,,HomePowerplay,True,False,2.0
1,929,1767181156040,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"27.4,-7","28.2,-12.5",153736.0,#38 Lukas Frick,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,153736,150983.0,340162.0,153736.0,888057861.0,345037.0,888057597.0,888057617.0,888057609.0,888057601.0,888057600.0,888057613.0,,#29 Sandro Aeschlimann,#6 Klas Dahlbeck,#38 Lukas Frick,#47 Leonid Komarov,#15 Simon Ryfors,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#4 Jake Livanavage,#27 Zam Plante,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"26,-0.6","22.8,-9.3","26,-5.4","20.8,-4.3","19.1,-7.9","-25.4,0.1","20,-3.9","19.9,-5.9","13.1,-0.6","12,-13.2","22.7,-7.3",,,,,,,,,,,,,,,,,,,,,,,,,,HomePowerplay,True,False,2.0
1,930,1767181157280,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"28.2,-12.5","26,-13.6",,,,,,,,,,,,,,,,,,,,,,,,,Loose,HomeTeamZone,HomeTeamZone,,,,,150983.0,340162.0,153736.0,888057861.0,345037.0,888057597.0,888057617.0,888057609.0,888057601.0,888057600.0,888057613.0,,#29 Sandro Aeschlimann,#6 Klas Dahlbeck,#38 Lukas Frick,#47 Leonid Komarov,#15 Simon Ryfors,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#4 Jake Livanavage,#27 Zam Plante,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"26.5,-0.1","24.3,-9.4","28,-10.1","19.7,-2.9","17.3,-6.1","-25.8,-0.2","18,-3","18.6,-6.8","10.3,3.1","9.7,-14.5","24.5,-7.8",,,,,,,,,,,,,,,,,,,,,,,,,,HomePowerplay,True,False,2.0
1,930,1767181157700,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"26,-13.6","25.9,-13.4",153736.0,#38 Lukas Frick,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,153736,150983.0,340162.0,153736.0,888057861.0,345037.0,888057597.0,888057617.0,888057609.0,888057601.0,888057600.0,888057613.0,,#29 Sandro Aeschlimann,#6 Klas Dahlbeck,#38 Lukas Frick,#47 Leonid Komarov,#15 Simon Ryfors,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#4 Jake Livanavage,#27 Zam Plante,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"26.6,0.1","24.2,-9.4","26.4,-11.7","18.4,-2.1","16.4,-5.8","-26.1,-0.1","16.5,-3","18.3,-7.5","8.9,3.7","9,-14.4","24.1,-8.5",,,,,,,,,,,,,,,,,,,,,,,,,,HomePowerplay,True,False,2.0
1,930,1767181157720,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"25.9,-13.4","23,-14.9",,,,,,,,,,,,,,,,,,,,,,,,,Loose,HomeTeamZone,HomeTeamZone,,,,,150983.0,340162.0,153736.0,888057861.0,345037.0,888057597.0,888057617.0,888057609.0,888057601.0,888057600.0,888057613.0,,#29 Sandro Aeschlimann,#6 Klas Dahlbeck,#38 Lukas Frick,#47 Leonid Komarov,#15 Simon Ryfors,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#4 Jake Livanavage,#27 Zam Plante,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"26.6,0.1","24.2,-9.4","26.3,-11.7","18.3,-2.1","16.3,-5.8","-26.1,-0.1","16.4,-3","18.3,-7.6","8.8,3.7","9,-14.4","24.1,-8.5",,,,,,,,,,,,,,,,,,,,,,,,,,HomePowerplay,True,False,2.0
1,931,1767181158220,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"23,-14.9","18.8,-13",153736.0,#38 Lukas Frick,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,HomeTeamZone,HomeTeamZone,,,,153736,150983.0,340162.0,153736.0,888057861.0,345037.0,888057597.0,888057617.0,888057609.0,888057601.0,888057600.0,888057613.0,,#29 Sandro Aeschlimann,#6 Klas Dahlbeck,#38 Lukas Frick,#47 Leonid Komarov,#15 Simon Ryfors,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#4 Jake Livanavage,#27 Zam Plante,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"26.7,0.2","23.6,-9.8","23.6,-13.4","16.4,-1.1","15.4,-5.5","-25.7,-0.1","14.6,-3.3","18,-9.1","7.1,4","7.6,-14.3","23.1,-9.2",,,,,,,,,,,,,,,,,,,,,,,,,,HomePowerplay,True,False,2.0
1,931,1767181158560,Clear,HomePowerplay,5v4,True,True,AwayTeamZone,"19.4,-13.1","-7.3,-4.3",153736.0,#38 Lukas Frick,Away,888057597.0,#30 Adam Gajan,Home,,,,,,,,,,,,,,,,,OffensiveZone,False,,,,,,,"153736,888057597",150983.0,340162.0,153736.0,888057861.0,345037.0,888057597.0,888057617.0,888057609.0,888057601.0,888057600.0,888057613.0,,#29 Sandro Aeschlimann,#6 Klas Dahlbeck,#38 Lukas Frick,#47 Leonid Komarov,#15 Simon Ryfors,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#4 Jake Livanavage,#27 Zam Plante,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"26.6,0.1","23.2,-10","21.8,-14","14.9,-0.4","14.8,-4.7","-25.7,-0.2","13.2,-3.4","17.7,-10.3","6,3.5","6.4,-14","22,-9.5",,0.463,1.912,5.681,5.05,3.292,0.488,4.465,3.529,3.744,3.43,3.81,,"-0.582,-0.813","-0.932,-0.362","-0.973,-0.231","-0.909,0.417","-0.617,0.787","-0.232,-0.973","-0.995,-0.1","-0.404,-0.915","-0.855,-0.518","-0.935,0.354","-0.981,-0.197",,HomePowerplay,True,False,2.0
1,931,1767181158580,PuckControl,HomePowerplay,5v4,True,True,AwayTeamZone,"18.8,-13","-23.2,0.1",,,,,,,,,,,,,,,,,,,,,,,,,Loose,HomeTeamZone,AwayTeamZone,,,,,150983.0,340162.0,153736.0,888057861.0,345037.0,888057597.0,888057617.0,888057609.0,888057601.0,888057600.0,888057613.0,,#29 Sandro Aeschlimann,#6 Klas Dahlbeck,#38 Lukas Frick,#47 Leonid Komarov,#15 Simon Ryfors,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#4 Jake Livanavage,#27 Zam Plante,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"26.6,0.1","23.1,-10","21.7,-14","14.8,-0.4","14.8,-4.7","-25.7,-0.2","13.1,-3.5","17.7,-10.4","5.9,3.5","6.3,-13.9","21.9,-9.5",,,,,,,,,,,,,,,,,,,,,,,,,,HomePowerplay,True,False,2.0
1,932,1767181159040,BluelineCrossing,HomePowerplay,5v4,True,True,AwayTeamZone,"7.2,-9.8",,153736.0,#38 Lukas Frick,Away,,,,,,,,,,,,,,TowardsOpponent,,,,,,,,,,,,,,153736,150983.0,340162.0,153736.0,888057861.0,345037.0,888057597.0,888057617.0,888057609.0,888057601.0,888057600.0,888057613.0,,#29 Sandro Aeschlimann,#6 Klas Dahlbeck,#38 Lukas Frick,#47 Leonid Komarov,#15 Simon Ryfors,#30 Adam Gajan,#19 Quinn Finley,#13 T.J. Hughes,#23 Eric Pohlkamp,#4 Jake Livanavage,#27 Zam Plante,,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,,"26.5,-0.1","22,-10.3","18.9,-14.2","12.5,0.5","13.8,-3","-25.7,-0.3","11,-3.5","16.6,-11.5","4.3,2.7","5,-13.2","20.1,-9.8",,0.404,2.686,5.518,6.152,5.737,0.373,4.627,3.526,4.266,3.428,4.338,,"-0.688,-0.726","-0.991,-0.135","-0.998,0.058","-0.93,0.367","-0.456,0.89","0.729,0.684","-0.999,0.037","-0.855,-0.518","-0.956,-0.293","-0.888,0.46","-0.999,-0.053",,HomePowerplay,True,False,2.0
